name,genre,year,gross,released2
Little Women,Drama,2019,216601214.0,2019-12-25
Ip Man 4: The Finale,Action,2019,176345966.0,2019-12-20
Star Wars: Episode IX - The Rise of Skywalker,Action,2019,1078232589.0,2019-12-20
Jumanji: The Next Level,Action,2019,800059707.0,2019-12-13
The Death & Life of John F. Donovan,Drama,2018,3326364.0,2019-12-13
Marriage Story,Comedy,2019,333686.0,2019-12-06
Knives Out,Comedy,2019,311539397.0,2019-11-27
The Irishman,Biography,2019,968853.0,2019-11-27
A Beautiful Day in the Neighborhood,Biography,2019,67760877.0,2019-11-22
Frozen II,Animation,2019,1450026933.0,2019-11-22
Ford v Ferrari,Action,2019,225508210.0,2019-11-15
Jojo Rabbit,Comedy,2019,90335025.0,2019-11-08
Parasite,Comedy,2019,258908054.0,2019-11-08
Terminator: Dark Fate,Action,2019,261119292.0,2019-11-01
After the Wedding,Drama,2019,2790019.0,2019-11-01
The Lighthouse,Drama,2019,18123239.0,2019-11-01
Brittany Runs a Marathon,Comedy,2019,7442106.0,2019-10-24
Zombieland: Double Tap,Action,2019,122810399.0,2019-10-18
Maleficent: Mistress of Evil,Adventure,2019,491730089.0,2019-10-18
The Addams Family,Animation,2019,203783566.0,2019-10-11
Gemini Man,Action,2019,173469516.0,2019-10-11
Joker,Crime,2019,1074427370.0,2019-10-04
El Coyote,Action,2019,1101470.0,2019-10-04
Open,Drama,2019,,2019-10-04
"My People, My Country",Drama,2019,450064993.0,2019-10-01
The Captain,Action,2019,417282021.0,2019-09-30
Abominable,Animation,2019,180314199.0,2019-09-27
Downton Abbey,Drama,2019,237860050.0,2019-09-20
Ad Astra,Adventure,2019,127461872.0,2019-09-20
Rambo: Last Blood,Action,2019,91490353.0,2019-09-20
Hustlers,Comedy,2019,157563598.0,2019-09-13
The Goldfinch,Drama,2019,9932621.0,2019-09-13
Can You Keep a Secret?,Comedy,2019,1378160.0,2019-09-13
Ms. Purple,Crime,2019,80657.0,2019-09-06
Chhichhore,Comedy,2019,3311391.0,2019-09-06
It Chapter Two,Drama,2019,473093228.0,2019-09-06
K-12,Fantasy,2019,359377.0,2019-09-05
The Souvenir,Drama,2019,1719157.0,2019-08-30
Don't Let Go,Drama,2019,5288011.0,2019-08-30
Official Secrets,Biography,2019,10088753.0,2019-08-30
Tod@s Caen,Comedy,2019,9667157.0,2019-08-30
The Fanatic,Crime,2019,,2019-08-30
Before You Know It,Comedy,2019,151507.0,2019-08-30
Saaho,Action,2019,5708522.0,2019-08-30
Bennett's War,Sport,2019,1067629.0,2019-08-30
The Nightingale,Adventure,2018,988687.0,2019-08-29
Overcomer,Drama,2019,38026103.0,2019-08-23
