Release,Opening,Total Gross,% of Total,Theaters,Average,Date,Distributor
Avengers: Endgame,"$357,115,007 ","$858,373,000 ",41.60%,"4,662","$76,601 ",4/26/2019,Walt Disney Studios Motion Pictures
Spider-Man: No Way Home,"$260,138,569 ","$804,793,477 ",32.30%,"4,336","$59,995 ",12/17/2021,Sony Pictures Entertainment (SPE)
Avengers: Infinity War,"$257,698,183 ","$678,815,482 ",38%,"4,474","$57,599 ",4/27/2018,Walt Disney Studios Motion Pictures
Star Wars: Episode VII - The Force Awakens,"$247,966,675 ","$936,662,225 ",26.50%,"4,134","$59,982 ",12/18/2015,Walt Disney Studios Motion Pictures
Star Wars: Episode VIII - The Last Jedi,"$220,009,584 ","$620,181,382 ",35.50%,"4,232","$51,987 ",12/15/2017,Walt Disney Studios Motion Pictures
Jurassic World,"$208,806,270 ","$652,270,625 ",32%,"4,274","$48,855 ",6/12/2015,Universal Pictures
The Avengers,"$207,438,708 ","$623,357,910 ",33.30%,"4,349","$47,698 ",5/4/2012,Walt Disney Studios Motion Pictures
Black Panther,"$202,003,951 ","$700,059,566 ",28.90%,"4,020","$50,249 ",2/16/2018,Walt Disney Studios Motion Pictures
The Lion King,"$191,770,759 ","$543,638,043 ",35.30%,"4,725","$40,586 ",7/19/2019,Walt Disney Studios Motion Pictures
Avengers: Age of Ultron,"$191,271,109 ","$459,005,868 ",41.70%,"4,276","$44,731 ",5/1/2015,Walt Disney Studios Motion Pictures
Doctor Strange in the Multiverse of Madness,"$187,420,998 ","$411,331,607 ",45.60%,"4,534","$41,336 ",5/6/2022,Walt Disney Studios Motion Pictures
Incredibles 2,"$182,687,905 ","$608,581,744 ",30%,"4,410","$41,425 ",6/15/2018,Walt Disney Studios Motion Pictures
Black Panther: Wakanda Forever,"$181,339,761 ","$453,829,060 ",40%,"4,396","$41,251 ",11/11/2022,Walt Disney Studios Motion Pictures
Captain America: Civil War,"$179,139,142 ","$408,084,349 ",43.90%,"4,226","$42,389 ",5/6/2016,Walt Disney Studios Motion Pictures
Star Wars: Episode IX - The Rise of Skywalker,"$177,383,864 ","$515,202,542 ",34.40%,"4,406","$40,259 ",12/20/2019,Walt Disney Studios Motion Pictures
Beauty and the Beast,"$174,750,616 ","$504,014,165 ",34.70%,"4,210","$41,508 ",3/17/2017,Walt Disney Studios Motion Pictures
Iron Man 3,"$174,144,585 ","$409,013,994 ",42.60%,"4,253","$40,946 ",5/3/2013,Walt Disney Studios Motion Pictures
Harry Potter and the Deathly Hallows: Part 2,"$169,189,427 ","$381,011,219 ",44.40%,"4,375","$38,671 ",7/15/2011,Warner Bros.
Batman v Superman: Dawn of Justice,"$166,007,347 ","$330,360,194 ",50.20%,"4,242","$39,134 ",3/25/2016,Warner Bros.
Barbie,"$162,022,044 ","$636,203,114 ",25.50%,"4,243","$38,185 ",7/21/2023,Warner Bros.
The Dark Knight Rises,"$160,887,295 ","$448,139,099 ",35.90%,"4,404","$36,532 ",7/20/2012,Warner Bros.
The Dark Knight,"$158,411,483 ","$533,345,358 ",29.70%,"4,366","$36,282 ",7/18/2008,Warner Bros.
The Hunger Games: Catching Fire,"$158,074,286 ","$424,668,047 ",37.20%,"4,163","$37,971 ",11/22/2013,Lions Gate Films
Rogue One: A Star Wars Story,"$155,081,681 ","$532,177,324 ",29.10%,"4,157","$37,306 ",12/16/2016,Walt Disney Studios Motion Pictures
Captain Marvel,"$153,433,423 ","$426,829,839 ",36%,"4,310","$35,599 ",3/8/2019,Walt Disney Studios Motion Pictures
The Hunger Games,"$152,535,747 ","$408,010,692 ",37.40%,"4,137","$36,871 ",3/23/2012,Lions Gate Films
Spider-Man 3,"$151,116,516 ","$336,530,303 ",44.90%,"4,252","$35,540 ",5/4/2007,Sony Pictures Entertainment (SPE)
Jurassic World: Fallen Kingdom,"$148,024,610 ","$417,719,760 ",35.40%,"4,475","$33,078 ",6/22/2018,Universal Pictures
Furious 7,"$147,187,040 ","$353,007,020 ",41.70%,"4,004","$36,760 ",4/3/2015,Universal Pictures
Guardians of the Galaxy Vol. 2,"$146,510,104 ","$389,813,101 ",37.60%,"4,347","$33,703 ",5/5/2017,Walt Disney Studios Motion Pictures
The Super Mario Bros. Movie,"$146,361,865 ","$574,934,330 ",25.50%,"4,343","$33,700 ",4/5/2023,Universal Pictures
Jurassic World Dominion,"$145,075,625 ","$376,851,080 ",38.50%,"4,676","$31,025 ",6/10/2022,Universal Pictures
Thor: Love and Thunder,"$144,165,107 ","$343,256,830 ",42%,"4,375","$32,952 ",7/8/2022,Walt Disney Studios Motion Pictures
The Twilight Saga: New Moon,"$142,839,137 ","$296,623,634 ",48.20%,"4,024","$35,496 ",11/20/2009,Summit Entertainment
The Twilight Saga: Breaking Dawn - Part 2,"$141,067,634 ","$292,324,737 ",48.30%,"4,070","$34,660 ",11/16/2012,Lions Gate Films
The Twilight Saga: Breaking Dawn - Part 1,"$138,122,261 ","$281,287,133 ",49.10%,"4,061","$34,011 ",11/18/2011,Summit Entertainment
Pirates of the Caribbean: Dead Man's Chest,"$135,634,554 ","$423,315,812 ",32%,"4,133","$32,817 ",7/7/2006,Walt Disney Studios Motion Pictures
Finding Dory,"$135,060,273 ","$486,295,561 ",27.80%,"4,305","$31,372 ",6/17/2016,Walt Disney Studios Motion Pictures
Avatar: The Way of Water,"$134,100,226 ","$684,075,767 ",19.60%,"4,202","$31,913 ",12/16/2022,20th Century Studios
The Batman,"$134,008,624 ","$369,345,583 ",36.30%,"4,417","$30,339 ",3/4/2022,Warner Bros.
Suicide Squad,"$133,682,248 ","$325,100,054 ",41.10%,"4,255","$31,417 ",8/5/2016,Warner Bros.
Deadpool,"$132,434,639 ","$363,070,709 ",36.50%,"3,558","$37,221 ",2/12/2016,Twentieth Century Fox
Frozen II,"$130,263,358 ","$477,373,578 ",27.30%,"4,440","$29,338 ",11/22/2019,Walt Disney Studios Motion Pictures
Iron Man 2,"$128,122,480 ","$312,433,331 ",41%,"4,380","$29,251 ",5/7/2010,Paramount Pictures
Top Gun: Maverick,"$126,707,459 ","$718,732,821 ",17.60%,"4,735","$26,759 ",5/27/2022,Paramount Pictures
Deadpool 2,"$125,507,153 ","$318,491,426 ",39.40%,"4,349","$28,858 ",5/18/2018,Twentieth Century Fox
Harry Potter and the Deathly Hallows: Part 1,"$125,017,372 ","$295,983,305 ",42.20%,"4,125","$30,307 ",11/19/2010,Warner Bros.
It,"$123,403,419 ","$327,481,748 ",37.70%,"4,103","$30,076 ",9/8/2017,Warner Bros.
Thor: Ragnarok,"$122,744,989 ","$315,058,289 ",39%,"4,080","$30,084 ",11/3/2017,Walt Disney Studios Motion Pictures
The Hunger Games: Mockingjay - Part 1,"$121,897,634 ","$337,135,885 ",36.20%,"4,151","$29,365 ",11/21/2014,Lions Gate Films
Shrek the Third,"$121,629,270 ","$322,719,944 ",37.70%,"4,122","$29,507 ",5/18/2007,DreamWorks
Toy Story 4,"$120,908,065 ","$434,038,008 ",27.90%,"4,575","$26,427 ",6/21/2019,Walt Disney Studios Motion Pictures
Spider-Man: Across the Spider-Verse,"$120,663,589 ","$381,311,319 ",31.60%,"4,313","$27,976 ",6/2/2023,Columbia Pictures
Guardians of the Galaxy Vol. 3,"$118,414,021 ","$358,995,815 ",33%,"4,450","$26,609 ",5/5/2023,Walt Disney Studios Motion Pictures
Spider-Man: Homecoming,"$117,027,503 ","$334,201,140 ",35%,"4,348","$26,915 ",7/7/2017,Sony Pictures Entertainment (SPE)
Man of Steel,"$116,619,362 ","$291,045,518 ",40.10%,"4,207","$27,720 ",6/14/2013,Warner Bros.
Alice in Wonderland,"$116,101,023 ","$334,191,110 ",34.70%,"3,728","$31,142 ",3/5/2010,Walt Disney Studios Motion Pictures
Minions,"$115,718,405 ","$336,045,770 ",34.40%,"4,301","$26,905 ",7/10/2015,Universal Pictures
Spider-Man,"$114,844,116 ","$403,706,375 ",28.40%,"3,615","$31,768 ",5/3/2002,Sony Pictures Entertainment (SPE)
Pirates of the Caribbean: At World's End,"$114,732,820 ","$309,420,425 ",37.10%,"4,362","$26,302 ",5/25/2007,Walt Disney Studios Motion Pictures
Toy Story 3,"$110,307,189 ","$415,004,880 ",26.60%,"4,028","$27,385 ",6/18/2010,Walt Disney Studios Motion Pictures
Transformers: Revenge of the Fallen,"$108,966,307 ","$402,111,870 ",27.10%,"4,234","$25,736 ",6/24/2009,DreamWorks
Star Wars: Episode III - Revenge of the Sith,"$108,435,841 ","$380,270,577 ",28.50%,"3,661","$29,619 ",5/19/2005,Twentieth Century Fox
Shrek 2,"$108,037,878 ","$441,226,247 ",24.50%,"4,163","$25,951 ",5/19/2004,DreamWorks Distribution
Minions: The Rise of Gru,"$107,010,140 ","$369,695,210 ",29%,"4,391","$24,370 ",7/1/2022,Universal Pictures
Ant-Man and the Wasp: Quantumania,"$106,109,650 ","$214,504,909 ",49.50%,"4,345","$24,421 ",2/17/2023,Walt Disney Studios Motion Pictures
The Secret Life of Pets,"$104,352,905 ","$368,384,330 ",28.30%,"4,370","$23,879 ",7/8/2016,Universal Pictures
The Jungle Book,"$103,261,464 ","$364,001,123 ",28.40%,"4,028","$25,635 ",4/15/2016,Walt Disney Studios Motion Pictures
Wonder Woman,"$103,251,471 ","$412,563,408 ",25%,"4,165","$24,790 ",6/2/2017,Warner Bros.
X-Men: The Last Stand,"$102,750,665 ","$234,362,462 ",43.80%,"3,690","$27,845 ",5/26/2006,Twentieth Century Fox
Harry Potter and the Goblet of Fire,"$102,685,961 ","$290,013,036 ",35.40%,"3,858","$26,616 ",11/18/2005,Warner Bros.
The Hunger Games: Mockingjay - Part 2,"$102,665,981 ","$281,723,902 ",36.40%,"4,175","$24,590 ",11/20/2015,Lions Gate Films
Indiana Jones and the Kingdom of the Crystal Skull,"$100,137,835 ","$317,101,119 ",31.60%,"4,260","$23,506 ",5/22/2008,Paramount Pictures
Transformers: Age of Extinction,"$100,038,390 ","$245,439,076 ",40.80%,"4,233","$23,632 ",6/27/2014,Paramount Pictures
The Fate of the Furious,"$98,786,705 ","$226,008,385 ",43.70%,"4,310","$22,920 ",4/14/2017,Universal Pictures
Iron Man,"$98,618,668 ","$318,604,126 ",31%,"4,105","$24,024 ",5/2/2008,Paramount Pictures
Transformers: Dark of the Moon,"$97,852,865 ","$352,390,543 ",27.80%,"4,088","$23,936 ",6/29/2011,DreamWorks
Fast & Furious 6,"$97,375,245 ","$238,679,850 ",40.80%,"3,658","$26,619 ",5/24/2013,Universal Pictures
Joker,"$96,202,337 ","$335,451,311 ",28.70%,"4,374","$21,994 ",10/4/2019,Warner Bros.
The Little Mermaid,"$95,578,040 ","$298,172,056 ",32%,"4,320","$22,124 ",5/26/2023,Walt Disney Studios Motion Pictures
Captain America: The Winter Soldier,"$95,023,721 ","$259,766,572 ",36.60%,"3,938","$24,129 ",4/4/2014,Walt Disney Studios Motion Pictures
Guardians of the Galaxy,"$94,320,883 ","$333,176,600 ",28.30%,"4,080","$23,117 ",8/1/2014,Walt Disney Studios Motion Pictures
Justice League,"$93,842,239 ","$229,024,295 ",41%,"4,051","$23,165 ",11/17/2017,Warner Bros.
Harry Potter and the Prisoner of Azkaban,"$93,687,367 ","$249,541,069 ",37.50%,"3,855","$24,302 ",6/4/2004,Warner Bros.
Godzilla,"$93,188,384 ","$200,676,069 ",46.40%,"3,952","$23,580 ",5/16/2014,Warner Bros.
Taylor Swift: The Eras Tour,"$92,804,678 ","$178,901,001 ",51.90%,"3,855","$24,073 ",10/13/2023,-
Spider-Man: Far from Home,"$92,579,212 ","$390,532,085 ",23.70%,"4,634","$19,978 ",7/2/2019,Sony Pictures Entertainment (SPE)
