name,genre,year,gross,released2,Release,Opening,TotalGross,Date,Distributor
Star Wars: Episode IX - The Rise of Skywalker,Action,2019,1078232589.0,2019-12-20,Star Wars: Episode IX - The Rise of Skywalker,177383864.0,515202542.0,2019-12-20,Walt Disney Studios Motion Pictures
Jumanji: The Next Level,Action,2019,800059707.0,2019-12-13,Jumanji: The Next Level,59251543.0,320314960.0,2019-12-13,Sony Pictures Entertainment (SPE)
Ford v Ferrari,Action,2019,225508210.0,2019-11-15,Ford v Ferrari,31474958.0,117624357.0,2019-11-15,Twentieth Century Fox
Terminator: Dark Fate,Action,2019,261119292.0,2019-11-01,Terminator: Dark Fate,29033832.0,62253077.0,2019-11-01,Paramount Pictures
Zombieland: Double Tap,Action,2019,122810399.0,2019-10-18,Zombieland: Double Tap,26803104.0,73123082.0,2019-10-18,Sony Pictures Entertainment (SPE)
Angel Has Fallen,Action,2019,146661977.0,2019-08-23,Angel Has Fallen,21380987.0,69030436.0,2019-08-23,Lions Gate Films
Fast & Furious Presents: Hobbs & Shaw,Action,2019,759056935.0,2019-08-02,Fast & Furious Presents: Hobbs & Shaw,60038950.0,173956935.0,2019-08-02,Universal Pictures
Spider-Man: Far from Home,Action,2019,1131927996.0,2019-07-02,Spider-Man: Far from Home,92579212.0,390532085.0,2019-07-02,Sony Pictures Entertainment (SPE)
Men in Black: International,Action,2019,253890701.0,2019-06-14,Men in Black: International,30035838.0,80001807.0,2019-06-14,Sony Pictures Entertainment (SPE)
Godzilla: King of the Monsters,Action,2019,386600138.0,2019-05-31,Godzilla: King of the Monsters,47776293.0,110500138.0,2019-05-31,Warner Bros.
John Wick: Chapter 3 - Parabellum,Action,2019,327281779.0,2019-05-17,John Wick: Chapter 3 - Parabellum,56818067.0,171015687.0,2019-05-17,Lions Gate Films
Avengers: Endgame,Action,2019,2797501328.0,2019-04-26,Avengers: Endgame,357115007.0,858373000.0,2019-04-26,Walt Disney Studios Motion Pictures
Shazam!,Action,2019,365971656.0,2019-04-05,Shazam!,53505326.0,140371656.0,2019-04-05,Warner Bros.
Captain Marvel,Action,2019,1128462972.0,2019-03-08,Captain Marvel,153433423.0,426829839.0,2019-03-08,Walt Disney Studios Motion Pictures
Alita: Battle Angel,Action,2019,404980543.0,2019-02-14,Alita: Battle Angel,28525613.0,85838210.0,2019-02-14,Twentieth Century Fox
Aquaman,Action,2018,1148485886.0,2018-12-21,Aquaman,67873522.0,335061807.0,2018-12-21,Warner Bros.
Bumblebee,Action,2018,467989645.0,2018-12-21,Bumblebee,21654047.0,127195589.0,2018-12-21,Paramount Pictures
Venom,Action,2018,856085151.0,2018-10-05,Venom,80255756.0,213515506.0,2018-10-05,Sony Pictures Entertainment (SPE)
The Predator,Action,2018,160542134.0,2018-09-14,The Predator,24632284.0,51024708.0,2018-09-14,Twentieth Century Fox
The Meg,Action,2018,530259473.0,2018-08-10,The Meg,45402195.0,145443742.0,2018-08-10,Warner Bros.
Mission: Impossible - Fallout,Action,2018,791657398.0,2018-07-27,Mission: Impossible - Fallout,61236534.0,220159104.0,2018-07-27,Paramount Pictures
The Equalizer 2,Action,2018,190400157.0,2018-07-20,The Equalizer 2,36011640.0,102084362.0,2018-07-20,Sony Pictures Entertainment (SPE)
Skyscraper,Action,2018,304868961.0,2018-07-13,Skyscraper,24905015.0,68420120.0,2018-07-13,Universal Pictures
Ant-Man and the Wasp,Action,2018,622674139.0,2018-07-06,Ant-Man and the Wasp,75812205.0,216648740.0,2018-07-06,Walt Disney Studios Motion Pictures
Jurassic World: Fallen Kingdom,Action,2018,1310466296.0,2018-06-22,Jurassic World: Fallen Kingdom,148024610.0,417719760.0,2018-06-22,Universal Pictures
Ocean's Eight,Action,2018,297718711.0,2018-06-08,Ocean's Eight,41607378.0,140218711.0,2018-06-08,Warner Bros.
Solo: A Star Wars Story,Action,2018,392924807.0,2018-05-25,Solo: A Star Wars Story,84420489.0,213767512.0,2018-05-25,Walt Disney Studios Motion Pictures
Deadpool 2,Action,2018,786470484.0,2018-05-18,Deadpool 2,125507153.0,318491426.0,2018-05-18,Twentieth Century Fox
Avengers: Infinity War,Action,2018,2048359754.0,2018-04-27,Avengers: Infinity War,257698183.0,678815482.0,2018-04-27,Walt Disney Studios Motion Pictures
Rampage,Action,2018,428028233.0,2018-04-13,Rampage,35753093.0,101028233.0,2018-04-13,Warner Bros.
Ready Player One,Action,2018,582893671.0,2018-03-29,Ready Player One,41764050.0,137690172.0,2018-03-29,Warner Bros.
Pacific Rim: Uprising,Action,2018,290930148.0,2018-03-23,Pacific Rim: Uprising,28116535.0,59874525.0,2018-03-23,Universal Pictures
Tomb Raider,Action,2018,274650803.0,2018-03-16,Tomb Raider,23633317.0,58250803.0,2018-03-16,Warner Bros.
Black Panther,Action,2018,1347597973.0,2018-02-16,Black Panther,202003951.0,700059566.0,2018-02-16,Walt Disney Studios Motion Pictures
Maze Runner: The Death Cure,Action,2018,288175335.0,2018-01-26,Maze Runner: The Death Cure,24167011.0,58032443.0,2018-01-26,Twentieth Century Fox
Jumanji: Welcome to the Jungle,Action,2017,962542945.0,2017-12-20,Jumanji: Welcome to the Jungle,36169328.0,404515480.0,2017-12-20,Sony Pictures Entertainment (SPE)
Star Wars: Episode VIII - The Last Jedi,Action,2017,1332698830.0,2017-12-15,Star Wars: Episode VIII - The Last Jedi,220009584.0,620181382.0,2017-12-15,Walt Disney Studios Motion Pictures
Justice League,Action,2017,657926987.0,2017-11-17,Justice League,93842239.0,229024295.0,2017-11-17,Warner Bros.
Thor: Ragnarok,Action,2017,853983911.0,2017-11-03,Thor: Ragnarok,122744989.0,315058289.0,2017-11-03,Walt Disney Studios Motion Pictures
Blade Runner 2049,Action,2017,259334548.0,2017-10-06,Blade Runner 2049,32753122.0,92054159.0,2017-10-06,Warner Bros.
Kingsman: The Golden Circle,Action,2017,410902662.0,2017-09-22,Kingsman: The Golden Circle,39023010.0,100229647.0,2017-09-22,Twentieth Century Fox
The Hitman's Bodyguard,Action,2017,176600207.0,2017-08-18,The Hitman's Bodyguard,21384504.0,75468583.0,2017-08-18,Lions Gate Films
Dunkirk,Action,2017,527016307.0,2017-07-21,Dunkirk,50513488.0,188045546.0,2017-07-21,Warner Bros.
War for the Planet of the Apes,Action,2017,490719763.0,2017-07-14,War for the Planet of the Apes,56262929.0,146880162.0,2017-07-14,Twentieth Century Fox
Spider-Man: Homecoming,Action,2017,880166924.0,2017-07-07,Spider-Man: Homecoming,117027503.0,334201140.0,2017-07-07,Sony Pictures Entertainment (SPE)
Transformers: The Last Knight,Action,2017,605425157.0,2017-06-21,Transformers: The Last Knight,44680073.0,130168683.0,2017-06-21,Paramount Pictures
The Mummy,Action,2017,409231607.0,2017-06-09,The Mummy,31688375.0,80227895.0,2017-06-09,Universal Pictures
Wonder Woman,Action,2017,822824522.0,2017-06-02,Wonder Woman,103251471.0,412563408.0,2017-06-02,Warner Bros.
Pirates of the Caribbean: Dead Men Tell No Tales,Action,2017,794881442.0,2017-05-26,Pirates of the Caribbean: Dead Men Tell No Tales,62983253.0,172558876.0,2017-05-26,Walt Disney Studios Motion Pictures
Guardians of the Galaxy Vol. 2,Action,2017,863756051.0,2017-05-05,Guardians of the Galaxy Vol. 2,146510104.0,389813101.0,2017-05-05,Walt Disney Studios Motion Pictures
The Fate of the Furious,Action,2017,1236005118.0,2017-04-14,The Fate of the Furious,98786705.0,226008385.0,2017-04-14,Universal Pictures
Power Rangers,Action,2017,142337240.0,2017-03-24,Power Rangers,40300288.0,85364450.0,2017-03-24,Lions Gate Films
Kong: Skull Island,Action,2017,566652812.0,2017-03-10,Kong: Skull Island,61025472.0,168052812.0,2017-03-10,Warner Bros.
Logan,Action,2017,619179950.0,2017-03-03,Logan,88411916.0,226277068.0,2017-03-03,Twentieth Century Fox
John Wick: Chapter 2,Action,2017,171547802.0,2017-02-10,John Wick: Chapter 2,30436123.0,92029184.0,2017-02-10,Lions Gate Films
Rogue One: A Star Wars Story,Action,2016,1056057720.0,2016-12-16,Rogue One: A Star Wars Story,155081681.0,532177324.0,2016-12-16,Walt Disney Studios Motion Pictures
Doctor Strange,Action,2016,677796076.0,2016-11-04,Doctor Strange,85058311.0,232641920.0,2016-11-04,Walt Disney Studios Motion Pictures
Jack Reacher: Never Go Back,Action,2016,162146076.0,2016-10-21,Jack Reacher: Never Go Back,22872490.0,58697076.0,2016-10-21,Paramount Pictures
The Accountant,Action,2016,155160045.0,2016-10-14,The Accountant,24710273.0,86260045.0,2016-10-14,Warner Bros.
The Magnificent Seven,Action,2016,162360636.0,2016-09-23,The Magnificent Seven,34703397.0,93432655.0,2016-09-23,Sony Pictures Entertainment (SPE)
Pete's Dragon,Action,2016,143695338.0,2016-08-12,Pete's Dragon,21514095.0,76233151.0,2016-08-12,Walt Disney Studios Motion Pictures
Suicide Squad,Action,2016,746846894.0,2016-08-05,Suicide Squad,133682248.0,325100054.0,2016-08-05,Warner Bros.
Jason Bourne,Action,2016,415484914.0,2016-07-29,Jason Bourne,59215365.0,162434410.0,2016-07-29,Universal Pictures
Star Trek Beyond,Action,2016,343471816.0,2016-07-22,Star Trek Beyond,59253211.0,158848340.0,2016-07-22,Paramount Pictures
Ghostbusters,Action,2016,229147509.0,2016-07-15,Ghostbusters,46018755.0,128350574.0,2016-07-15,Sony Pictures Entertainment (SPE)
The Legend of Tarzan,Action,2016,356700357.0,2016-07-01,The Legend of Tarzan,38527856.0,126643061.0,2016-07-01,Warner Bros.
The Purge: Election Year,Action,2016,118587880.0,2016-07-01,The Purge: Election Year,31515110.0,79213375.0,2016-07-01,Universal Pictures
Independence Day: Resurgence,Action,2016,389681935.0,2016-06-24,Independence Day: Resurgence,41039944.0,103144286.0,2016-06-24,Twentieth Century Fox
Central Intelligence,Action,2016,216972543.0,2016-06-17,Central Intelligence,35535250.0,127440871.0,2016-06-17,Warner Bros.
Now You See Me 2,Action,2016,334897606.0,2016-06-10,Now You See Me 2,22383146.0,65075540.0,2016-06-10,Lions Gate Films
Warcraft,Action,2016,439048914.0,2016-06-10,Warcraft,24166110.0,47365290.0,2016-06-10,Universal Pictures
Teenage Mutant Ninja Turtles: Out of the Shadows,Action,2016,245623848.0,2016-06-03,Teenage Mutant Ninja Turtles: Out of the Shadows,35316382.0,82051601.0,2016-06-03,Paramount Pictures
X-Men: Apocalypse,Action,2016,543934105.0,2016-05-27,X-Men: Apocalypse,65769562.0,155442489.0,2016-05-27,Twentieth Century Fox
Captain America: Civil War,Action,2016,1153337496.0,2016-05-06,Captain America: Civil War,179139142.0,408084349.0,2016-05-06,Walt Disney Studios Motion Pictures
Batman v Superman: Dawn of Justice,Action,2016,873637528.0,2016-03-25,Batman v Superman: Dawn of Justice,166007347.0,330360194.0,2016-03-25,Warner Bros.
Allegiant,Action,2016,179246868.0,2016-03-18,Allegiant,29027348.0,66184051.0,2016-03-18,Lions Gate Films
10 Cloverfield Lane,Action,2016,110216998.0,2016-03-11,10 Cloverfield Lane,24727437.0,72082998.0,2016-03-11,Paramount Pictures
London Has Fallen,Action,2016,205754447.0,2016-03-04,London Has Fallen,21635601.0,62524260.0,2016-03-04,Focus Features
Deadpool,Action,2016,782836791.0,2016-02-12,Deadpool,132434639.0,363070709.0,2016-02-12,Twentieth Century Fox
Ride Along 2,Action,2016,124608438.0,2016-01-15,Ride Along 2,35243095.0,91221830.0,2016-01-15,Universal Pictures
Star Wars: Episode VII - The Force Awakens,Action,2015,2069521700.0,2015-12-18,Star Wars: Episode VII - The Force Awakens,247966675.0,936662225.0,2015-12-18,Walt Disney Studios Motion Pictures
The Hunger Games: Mockingjay - Part 2,Action,2015,658344137.0,2015-11-20,The Hunger Games: Mockingjay - Part 2,102665981.0,281723902.0,2015-11-20,Lions Gate Films
Spectre,Action,2015,880681519.0,2015-11-06,Spectre,70403148.0,200074609.0,2015-11-06,Sony Pictures Entertainment (SPE)
Maze Runner: The Scorch Trials,Action,2015,312296056.0,2015-09-18,Maze Runner: The Scorch Trials,30316510.0,81697192.0,2015-09-18,Twentieth Century Fox
Fantastic Four,Action,2015,167882881.0,2015-08-07,Fantastic Four,25685737.0,56117548.0,2015-08-07,Twentieth Century Fox
Mission: Impossible - Rogue Nation,Action,2015,682716636.0,2015-07-31,Mission: Impossible - Rogue Nation,55520089.0,195042377.0,2015-07-31,Paramount Pictures
Pixels,Action,2015,244874809.0,2015-07-24,Pixels,24011616.0,78747585.0,2015-07-24,Sony Pictures Entertainment (SPE)
Ant-Man,Action,2015,519311965.0,2015-07-17,Ant-Man,57225526.0,180202163.0,2015-07-17,Walt Disney Studios Motion Pictures
Terminator Genisys,Action,2015,440603537.0,2015-07-01,Terminator Genisys,27018486.0,89760956.0,2015-07-01,Paramount Pictures
Jurassic World,Action,2015,1670516444.0,2015-06-12,Jurassic World,208806270.0,652270625.0,2015-06-12,Universal Pictures
Spy,Action,2015,235666219.0,2015-06-05,Spy,29085719.0,110825712.0,2015-06-05,Twentieth Century Fox
San Andreas,Action,2015,473990832.0,2015-05-29,San Andreas,54588173.0,155190832.0,2015-05-29,Warner Bros.
Tomorrowland,Action,2015,209035668.0,2015-05-22,Tomorrowland,33028165.0,93436322.0,2015-05-22,Walt Disney Studios Motion Pictures
Mad Max: Fury Road,Action,2015,375658750.0,2015-05-15,Mad Max: Fury Road,45428128.0,153636354.0,2015-05-15,Warner Bros.
Avengers: Age of Ultron,Action,2015,1402809540.0,2015-05-01,Avengers: Age of Ultron,191271109.0,459005868.0,2015-05-01,Walt Disney Studios Motion Pictures
Paul Blart: Mall Cop 2,Action,2015,107588225.0,2015-04-17,Paul Blart: Mall Cop 2,23762435.0,71038190.0,2015-04-17,Sony Pictures Entertainment (SPE)
Furious 7,Action,2015,1515341399.0,2015-04-03,Furious 7,147187040.0,353007020.0,2015-04-03,Universal Pictures
The Divergent Series: Insurgent,Action,2015,297002527.0,2015-03-20,The Divergent Series: Insurgent,52263680.0,130179072.0,2015-03-20,Lions Gate Films
Kingsman: The Secret Service,Action,2014,414351546.0,2015-02-13,Kingsman: The Secret Service,36206331.0,128261724.0,2015-02-13,Twentieth Century Fox
Taken 3,Action,2014,326479141.0,2015-01-09,Taken 3,39201657.0,89256424.0,2015-01-09,Twentieth Century Fox
Unbroken,Action,2014,161459297.0,2014-12-25,Unbroken,30621445.0,115637895.0,2014-12-25,Universal Pictures
Exodus: Gods and Kings,Action,2014,268175631.0,2014-12-12,Exodus: Gods and Kings,24115934.0,65014513.0,2014-12-12,Twentieth Century Fox
The Hunger Games: Mockingjay - Part 1,Action,2014,755356711.0,2014-11-21,The Hunger Games: Mockingjay - Part 1,121897634.0,337135885.0,2014-11-21,Lions Gate Films
Fury,Action,2014,211822697.0,2014-10-17,Fury,23702421.0,85817906.0,2014-10-17,Sony Pictures Entertainment (SPE)
Dracula Untold,Action,2014,217124280.0,2014-10-10,Dracula Untold,23514615.0,56280355.0,2014-10-10,Universal Pictures
The Equalizer,Action,2014,192330738.0,2014-09-26,The Equalizer,34137828.0,101530738.0,2014-09-26,Sony Pictures Entertainment (SPE)
The Maze Runner,Action,2014,348319861.0,2014-09-19,The Maze Runner,32512804.0,102427862.0,2014-09-19,Twentieth Century Fox
Teenage Mutant Ninja Turtles,Action,2014,485004754.0,2014-08-08,Teenage Mutant Ninja Turtles,65575105.0,191204754.0,2014-08-08,Paramount Pictures
Guardians of the Galaxy,Action,2014,773350147.0,2014-08-01,Guardians of the Galaxy,94320883.0,333176600.0,2014-08-01,Walt Disney Studios Motion Pictures
Hercules,Action,2014,244819862.0,2014-07-25,Hercules,29800263.0,72688614.0,2014-07-25,Paramount Pictures
Lucy,Action,2014,458863600.0,2014-07-25,Lucy,43899340.0,126663600.0,2014-07-25,Universal Pictures
The Purge: Anarchy,Action,2014,111928365.0,2014-07-18,The Purge: Anarchy,29816675.0,71962800.0,2014-07-18,Universal Pictures
Dawn of the Planet of the Apes,Action,2014,710644566.0,2014-07-11,Dawn of the Planet of the Apes,72611427.0,208545589.0,2014-07-11,Twentieth Century Fox
